Country,count
GREATER LONDON,689347
GREATER MANCHESTER,198338
WEST MIDLANDS,179714
WEST YORKSHIRE,174709
ESSEX,144359
HAMPSHIRE,140664
KENT,139937
SURREY,119325
HERTFORDSHIRE,114051
LANCASHIRE,106906
MERSEYSIDE,96965
WEST SUSSEX,92960
DEVON,90143
SOUTH YORKSHIRE,88705
NORFOLK,84312
TYNE AND WEAR,79015
NOTTINGHAMSHIRE,77005
EAST SUSSEX,75191
NORTHAMPTONSHIRE,73260
DERBYSHIRE,71382
SUFFOLK,70359
LINCOLNSHIRE,68474
STAFFORDSHIRE,68252
CAMBRIDGESHIRE,68247
OXFORDSHIRE,64477
LEICESTERSHIRE,61963
CHESHIRE,61428
GLOUCESTERSHIRE,59952
NORTH YORKSHIRE,55556
WORCESTERSHIRE,54305
SOMERSET,53935
CORNWALL,53033
BUCKINGHAMSHIRE,51897
WARWICKSHIRE,49614
WILTSHIRE,47339
DORSET,47255
CUMBRIA,43160
BEDFORDSHIRE,42982
DURHAM,36779
SHROPSHIRE,35843
CITY OF BRISTOL,31429
MILTON KEYNES,27230
CARDIFF,26150
EAST RIDING OF YORKSHIRE,26117
NORTHUMBERLAND,25427
SOUTH GLOUCESTERSHIRE,23808
BOURNEMOUTH,23216
BRIGHTON AND HOVE,22610
SOUTHAMPTON,22208
PORTSMOUTH,21214
SOUTHEND-ON-SEA,20560
LUTON,18686
STOKE-ON-TRENT,18683
LEICESTER,18615
POOLE,18335
NORTH SOMERSET,17825
WARRINGTON,17644
SWANSEA,17334
WOKINGHAM,16949
ISLE OF WIGHT,16886
YORK,16780
TORBAY,16765
AVON,16499
READING,15973
WINDSOR AND MAIDENHEAD,15573
THURROCK,15244
STOCKTON-ON-TEES,14907
SWINDON,14446
HUMBERSIDE,14436
CITY OF KINGSTON UPON HULL,14264
BLACKPOOL,14263
BATH AND NORTH EAST SOMERSET,13912
BRACKNELL FOREST,13226
CITY OF DERBY,12558
RHONDDA CYNON TAFF,12374
SLOUGH,12048
NORTH EAST LINCOLNSHIRE,11242
NEWPORT,10806
CAERPHILLY,10220
GWYNEDD,10041
MEDWAY,9857
NORTH LINCOLNSHIRE,9819
DARLINGTON,9710
MIDDLESBROUGH,9430
THE VALE OF GLAMORGAN,9287
BERKSHIRE,9254
CITY OF PLYMOUTH,8996
THAMESDOWN,8882
CARMARTHENSHIRE,8670
FLINTSHIRE,8522
CONWY,8271
HEREFORD AND WORCESTER,7880
NEATH PORT TALBOT,7589
CITY OF NOTTINGHAM,7577
POWYS,7399
REDCAR AND CLEVELAND,7365
HEREFORDSHIRE,7114
HALTON,6973
CITY OF PETERBOROUGH,6804
BRIDGEND,6785
WREXHAM,6670
HARTLEPOOL,6531
WREKIN,6530
PEMBROKESHIRE,6407
BLACKBURN WITH DARWEN,6189
WEST BERKSHIRE,6188
DENBIGHSHIRE,6182
MONMOUTHSHIRE,6119
MID GLAMORGAN,5846
TORFAEN,5710
CLWYD,5171
CEREDIGION,4089
ISLE OF ANGLESEY,3959
BLAENAU GWENT,3590
RUTLAND,3267
MERTHYR TYDFIL,3266
DYFED,2794
WEST GLAMORGAN,2048
GWENT,1897
SOUTH GLAMORGAN,1775
CLEVELAND,1765
COUNTY DURHAM,419
CHESHIRE EAST,318
BEDFORD,222
CHESHIRE WEST AND CHESTER,186
CENTRAL BEDFORDSHIRE,158
ISLES OF SCILLY,139
